date,country,province,cumulative_confirmed,daily_confirmed,cumulative_deaths,daily_deaths,cumulative_recovered,daily_recovered
2020-01-22,China,ALL,548,548.0,17,17.0,28.0,28.0
2020-01-23,China,ALL,643,95.0,18,1.0,30.0,2.0
2020-01-24,China,ALL,920,277.0,26,8.0,36.0,6.0
2020-01-25,China,ALL,1406,486.0,42,16.0,39.0,3.0
2020-01-26,China,ALL,2075,669.0,56,14.0,49.0,10.0
2020-01-27,China,ALL,2877,802.0,82,26.0,58.0,9.0
2020-01-28,China,ALL,5509,2632.0,131,49.0,101.0,43.0
2020-01-29,China,ALL,6087,578.0,133,2.0,120.0,19.0
2020-01-30,China,ALL,8141,2054.0,171,38.0,135.0,15.0
2020-01-31,China,ALL,9802,1661.0,213,42.0,214.0,79.0
2020-02-01,China,ALL,11891,2089.0,259,46.0,275.0,61.0
2020-02-02,China,ALL,16630,4739.0,361,102.0,463.0,188.0
2020-02-03,China,ALL,19716,3086.0,425,64.0,614.0,151.0
2020-02-04,China,ALL,23707,3991.0,491,66.0,843.0,229.0
2020-02-05,China,ALL,27440,3733.0,563,72.0,1115.0,272.0
2020-02-06,China,ALL,30587,3147.0,633,70.0,1477.0,362.0
2020-02-07,China,ALL,34110,3523.0,718,85.0,1999.0,522.0
2020-02-08,China,ALL,36814,2704.0,805,87.0,2596.0,597.0
2020-02-09,China,ALL,39829,3015.0,905,100.0,3219.0,623.0
2020-02-10,China,ALL,42354,2525.0,1012,107.0,3918.0,699.0
2020-02-11,China,ALL,44386,2032.0,1112,100.0,4636.0,718.0
2020-02-12,China,ALL,44759,373.0,1117,5.0,5082.0,446.0
2020-02-13,China,ALL,59895,15136.0,1369,252.0,6217.0,1135.0
2020-02-14,China,ALL,66358,6463.0,1521,152.0,7977.0,1760.0
2020-02-15,China,ALL,68413,2055.0,1663,142.0,9298.0,1321.0
2020-02-16,China,ALL,70513,2100.0,1766,103.0,10755.0,1457.0
2020-02-17,China,ALL,72434,1921.0,1864,98.0,12462.0,1707.0
2020-02-18,China,ALL,74211,1777.0,2003,139.0,14206.0,1744.0
2020-02-19,China,ALL,74619,408.0,2116,113.0,15962.0,1756.0
2020-02-20,China,ALL,75077,458.0,2238,122.0,18014.0,2052.0
2020-02-21,China,ALL,75550,473.0,2238,0.0,18704.0,690.0
2020-02-22,China,ALL,77001,1451.0,2443,205.0,22699.0,3995.0
2020-02-23,China,ALL,77022,21.0,2445,2.0,23187.0,488.0
2020-02-24,China,ALL,77241,219.0,2595,150.0,25015.0,1828.0
2020-02-25,China,ALL,77754,513.0,2665,70.0,27676.0,2661.0
2020-02-26,China,ALL,78166,412.0,2717,52.0,30084.0,2408.0
2020-02-27,China,ALL,78600,434.0,2746,29.0,32930.0,2846.0
2020-02-28,China,ALL,78928,328.0,2790,44.0,36329.0,3399.0
2020-02-29,China,ALL,79356,428.0,2837,47.0,39320.0,2991.0
2020-03-01,China,ALL,79932,576.0,2872,35.0,42162.0,2842.0
2020-03-02,China,ALL,80136,204.0,2914,42.0,44854.0,2692.0
2020-03-03,China,ALL,80261,125.0,2947,33.0,47450.0,2596.0
2020-03-04,China,ALL,80386,125.0,2983,36.0,50001.0,2551.0
2020-03-05,China,ALL,80537,151.0,3015,32.0,52292.0,2291.0
2020-03-06,China,ALL,80690,153.0,3044,29.0,53944.0,1652.0
2020-03-07,China,ALL,80770,80.0,3072,28.0,55539.0,1595.0
2020-03-08,China,ALL,80823,53.0,3100,28.0,57388.0,1849.0
2020-03-09,China,ALL,80860,37.0,3123,23.0,58804.0,1416.0
2020-03-10,China,ALL,80887,27.0,3139,16.0,60181.0,1377.0
2020-03-11,China,ALL,80921,34.0,3161,22.0,61644.0,1463.0
2020-03-12,China,ALL,80932,11.0,3172,11.0,62901.0,1257.0
2020-03-13,China,ALL,80945,13.0,3180,8.0,64196.0,1295.0
2020-03-14,China,ALL,80977,32.0,3193,13.0,65660.0,1464.0
2020-03-15,China,ALL,81003,26.0,3204,11.0,67017.0,1357.0
2020-03-16,China,ALL,81033,30.0,3219,15.0,67910.0,893.0
2020-03-17,China,ALL,81058,25.0,3232,13.0,68798.0,888.0
2020-03-18,China,ALL,81102,44.0,3243,11.0,69755.0,957.0
2020-03-19,China,ALL,81156,54.0,3251,8.0,70535.0,780.0
2020-03-20,China,ALL,81250,94.0,3255,4.0,71266.0,731.0
2020-03-21,China,ALL,81305,55.0,3262,7.0,71857.0,591.0
2020-03-22,China,ALL,81435,130.0,3277,15.0,72362.0,505.0
2020-03-23,China,ALL,81493,58.0,3279,2.0,72814.0,452.0
2020-03-24,China,ALL,81587,94.0,3286,7.0,73280.0,466.0
2020-03-25,China,ALL,81658,71.0,3290,4.0,73773.0,493.0
2020-03-26,China,ALL,81781,123.0,3299,9.0,74181.0,408.0
2020-03-27,China,ALL,81872,91.0,3304,5.0,74720.0,539.0
2020-03-28,China,ALL,81964,92.0,3307,3.0,75100.0,380.0
2020-03-29,China,ALL,82058,94.0,3313,6.0,75582.0,482.0
2020-03-30,China,ALL,82139,81.0,3318,5.0,75923.0,341.0
2020-03-31,China,ALL,83786,1647.0,3323,5.0,76206.0,283.0
2020-04-01,China,ALL,84002,216.0,3332,9.0,76405.0,199.0
2020-04-02,China,ALL,84129,127.0,3339,7.0,76565.0,160.0
2020-04-03,China,ALL,84265,136.0,3348,9.0,76760.0,195.0
2020-04-04,China,ALL,84363,98.0,3353,5.0,76946.0,186.0
2020-04-05,China,ALL,84467,104.0,3357,4.0,77207.0,261.0
2020-04-06,China,ALL,84611,144.0,3361,4.0,77310.0,103.0
2020-04-07,China,ALL,84692,81.0,3362,1.0,77410.0,100.0
2020-04-08,China,ALL,84909,217.0,3366,4.0,77567.0,157.0
2020-04-09,China,ALL,85024,115.0,3372,6.0,77679.0,112.0
2020-04-10,China,ALL,85115,91.0,3373,1.0,77791.0,112.0
2020-04-11,China,ALL,85208,93.0,3379,6.0,77877.0,86.0
2020-04-12,China,ALL,85377,169.0,3381,2.0,77956.0,79.0
2020-04-13,China,ALL,85489,112.0,3385,4.0,78039.0,83.0
2020-04-14,China,ALL,85569,80.0,3387,2.0,78200.0,161.0
2020-04-15,China,ALL,85668,99.0,3389,2.0,78311.0,111.0
2020-04-16,China,ALL,85774,106.0,3391,2.0,78401.0,90.0
2020-04-17,China,ALL,86187,413.0,4686,1295.0,77552.0,0.0
2020-04-18,China,ALL,86258,71.0,4687,1.0,77614.0,62.0
2020-04-19,China,ALL,86321,63.0,4687,0.0,77690.0,76.0
2020-04-20,China,ALL,86382,61.0,4688,1.0,77745.0,55.0
2020-04-21,China,ALL,86452,70.0,4691,3.0,77799.0,54.0
2020-04-22,China,ALL,86508,56.0,4692,1.0,77861.0,62.0
2020-04-23,China,ALL,86548,40.0,4693,1.0,77983.0,122.0
2020-04-24,China,ALL,86594,46.0,4694,1.0,78109.0,126.0
2020-04-25,China,ALL,86632,38.0,4695,1.0,78175.0,66.0
2020-04-26,China,ALL,86661,29.0,4696,1.0,78277.0,102.0
2020-04-27,China,ALL,86692,31.0,4696,0.0,78374.0,97.0
2020-04-28,China,ALL,86754,62.0,4697,1.0,78422.0,48.0
2020-04-29,China,ALL,86783,29.0,4697,0.0,78474.0,52.0
2020-04-30,China,ALL,86828,45.0,4697,0.0,78523.0,49.0
2020-05-01,China,ALL,86850,22.0,4698,1.0,78573.0,50.0
2020-05-02,China,ALL,86858,8.0,4698,0.0,78586.0,13.0
2020-05-03,China,ALL,86842,0.0,4699,1.0,78684.0,98.0
2020-05-04,China,ALL,86838,0.0,4699,0.0,78792.0,108.0
2020-05-05,China,ALL,86855,17.0,4699,0.0,78870.0,78.0
2020-05-06,China,ALL,86877,22.0,4699,0.0,78929.0,59.0
2020-05-07,China,ALL,86888,11.0,4701,2.0,78977.0,48.0
2020-05-08,China,ALL,86905,17.0,4702,1.0,78993.0,16.0
2020-05-09,China,ALL,86934,29.0,4702,0.0,79127.0,134.0
2020-05-10,China,ALL,86973,39.0,4703,1.0,79167.0,40.0
2020-05-11,China,ALL,86980,7.0,4704,1.0,79198.0,31.0
2020-05-12,China,ALL,87002,22.0,4704,0.0,79222.0,24.0
2020-05-13,China,ALL,87016,14.0,4704,0.0,79246.0,24.0
2020-05-14,China,ALL,87032,16.0,4704,0.0,79261.0,15.0
2020-05-15,China,ALL,87052,20.0,4704,0.0,79281.0,20.0
2020-05-16,China,ALL,87070,18.0,4705,1.0,79293.0,12.0
2020-05-17,China,ALL,87092,22.0,4705,0.0,79306.0,13.0
2020-05-18,China,ALL,87119,27.0,4705,0.0,79310.0,4.0
2020-05-19,China,ALL,87135,16.0,4706,1.0,79310.0,0.0
2020-05-20,China,ALL,87151,16.0,4706,0.0,79310.0,0.0
2020-05-21,China,ALL,87190,39.0,4706,0.0,79310.0,0.0
2020-05-22,China,ALL,87235,45.0,4706,0.0,79332.0,22.0
2020-05-23,China,ALL,87266,31.0,4706,0.0,79335.0,3.0
2020-05-24,China,ALL,87313,47.0,4706,0.0,79343.0,8.0
2020-05-25,China,ALL,87360,47.0,4706,0.0,79352.0,9.0
2020-05-26,China,ALL,87390,30.0,4707,1.0,79358.0,6.0
