date,country,province,cumulative_confirmed,daily_confirmed,cumulative_deaths,daily_deaths,cumulative_recovered,daily_recovered
2020/1/22,China,Beijing,14,14,0,0,0,0
2020/1/23,China,Beijing,22,8,0,0,0,0
2020/1/24,China,Beijing,36,14,0,0,1,1
2020/1/25,China,Beijing,41,5,0,0,2,1
2020/1/26,China,Beijing,68,27,0,0,2,0
2020/1/27,China,Beijing,80,12,1,1,2,0
2020/1/28,China,Beijing,91,11,1,0,4,2
2020/1/29,China,Beijing,111,20,1,0,4,0
2020/1/30,China,Beijing,114,3,1,0,4,0
2020/1/31,China,Beijing,139,25,1,0,5,1
2020/2/1,China,Beijing,168,29,1,0,9,4
2020/2/2,China,Beijing,191,23,1,0,9,0
2020/2/3,China,Beijing,212,21,1,0,12,3
2020/2/4,China,Beijing,228,16,1,0,23,11
2020/2/5,China,Beijing,253,25,1,0,24,1
2020/2/6,China,Beijing,274,21,1,0,31,7
2020/2/7,China,Beijing,297,23,1,0,33,2
2020/2/8,China,Beijing,315,18,2,1,34,1
2020/2/9,China,Beijing,326,11,2,0,37,3
2020/2/10,China,Beijing,337,11,2,0,44,7
2020/2/11,China,Beijing,342,5,3,1,48,4
2020/2/12,China,Beijing,352,10,3,0,56,8
2020/2/13,China,Beijing,366,14,3,0,69,13
2020/2/14,China,Beijing,372,6,3,0,80,11
2020/2/15,China,Beijing,375,3,4,1,98,18
2020/2/16,China,Beijing,380,5,4,0,108,10
2020/2/17,China,Beijing,381,1,4,0,114,6
2020/2/18,China,Beijing,387,6,4,0,122,8
2020/2/19,China,Beijing,393,6,4,0,145,23
2020/2/20,China,Beijing,395,2,4,0,153,8
2020/2/21,China,Beijing,396,1,4,0,169,16
2020/2/22,China,Beijing,399,3,4,0,178,9
2020/2/23,China,Beijing,399,0,4,0,189,11
2020/2/24,China,Beijing,399,0,4,0,198,9
2020/2/25,China,Beijing,400,1,4,0,215,17
2020/2/26,China,Beijing,400,0,4,0,235,20
2020/2/27,China,Beijing,410,10,5,1,248,13
2020/2/28,China,Beijing,410,0,7,2,257,9
2020/2/29,China,Beijing,411,1,8,1,271,14
2020/3/1,China,Beijing,413,2,8,0,276,5
2020/3/2,China,Beijing,414,1,8,0,282,6
2020/3/3,China,Beijing,414,0,8,0,288,6
2020/3/4,China,Beijing,418,4,8,0,297,9
2020/3/5,China,Beijing,418,0,8,0,297,0
2020/3/6,China,Beijing,422,4,8,0,299,2
2020/3/7,China,Beijing,426,4,8,0,303,4
2020/3/8,China,Beijing,428,2,8,0,308,5
2020/3/9,China,Beijing,428,0,8,0,315,7
2020/3/10,China,Beijing,429,1,8,0,320,5
2020/3/11,China,Beijing,435,6,8,0,326,6
2020/3/12,China,Beijing,435,0,8,0,334,8
