date,country,province,cumulative_confirmed,daily_confirmed,cumulative_deaths,daily_deaths,cumulative_recovered,daily_recovered
2020-01-22,China,Anhui,1,1.0,0,0.0,0.0,0.0
2020-01-23,China,Anhui,9,8.0,0,0.0,0.0,0.0
2020-01-24,China,Anhui,15,6.0,0,0.0,0.0,0.0
2020-01-25,China,Anhui,39,24.0,0,0.0,0.0,0.0
2020-01-26,China,Anhui,60,21.0,0,0.0,0.0,0.0
2020-01-27,China,Anhui,70,10.0,0,0.0,0.0,0.0
2020-01-28,China,Anhui,106,36.0,0,0.0,0.0,0.0
2020-01-29,China,Anhui,152,46.0,0,0.0,2.0,2.0
2020-01-30,China,Anhui,200,48.0,0,0.0,2.0,0.0
2020-01-31,China,Anhui,237,37.0,0,0.0,3.0,1.0
2020-02-01,China,Anhui,297,60.0,0,0.0,5.0,2.0
2020-02-02,China,Anhui,340,43.0,0,0.0,7.0,2.0
2020-02-03,China,Anhui,408,68.0,0,0.0,14.0,7.0
2020-02-04,China,Anhui,480,72.0,0,0.0,20.0,6.0
2020-02-05,China,Anhui,530,50.0,0,0.0,23.0,3.0
2020-02-06,China,Anhui,591,61.0,0,0.0,34.0,11.0
2020-02-07,China,Anhui,665,74.0,0,0.0,47.0,13.0
2020-02-08,China,Anhui,733,68.0,0,0.0,59.0,12.0
2020-02-09,China,Anhui,779,46.0,1,1.0,72.0,13.0
2020-02-10,China,Anhui,830,51.0,3,2.0,88.0,16.0
2020-02-11,China,Anhui,860,30.0,4,1.0,105.0,17.0
2020-02-12,China,Anhui,889,29.0,4,0.0,127.0,22.0
2020-02-13,China,Anhui,910,21.0,5,1.0,157.0,30.0
2020-02-14,China,Anhui,934,24.0,6,1.0,193.0,36.0
2020-02-15,China,Anhui,950,16.0,6,0.0,221.0,28.0
2020-02-16,China,Anhui,962,12.0,6,0.0,255.0,34.0
2020-02-17,China,Anhui,973,11.0,6,0.0,280.0,25.0
2020-02-18,China,Anhui,982,9.0,6,0.0,361.0,81.0
