date,country,province,cumulative_confirmed,daily_confirmed,cumulative_deaths,daily_deaths,cumulative_recovered,daily_recovered
2020-01-22,China,Mainland,547,547.0,17,17.0,28.0,28.0
2020-01-23,China,Mainland,639,92.0,18,1.0,30.0,2.0
2020-01-24,China,Mainland,916,277.0,26,8.0,36.0,6.0
2020-01-25,China,Mainland,1399,483.0,42,16.0,39.0,3.0
2020-01-26,China,Mainland,2062,663.0,56,14.0,49.0,10.0
2020-01-27,China,Mainland,2863,801.0,82,26.0,58.0,9.0
2020-01-28,China,Mainland,5494,2631.0,131,49.0,101.0,43.0
2020-01-29,China,Mainland,6070,576.0,133,2.0,120.0,19.0
2020-01-30,China,Mainland,8124,2054.0,171,38.0,135.0,15.0
2020-01-31,China,Mainland,9783,1659.0,213,42.0,214.0,79.0
2020-02-01,China,Mainland,11871,2088.0,259,46.0,275.0,61.0
2020-02-02,China,Mainland,16607,4736.0,361,102.0,463.0,188.0
2020-02-03,China,Mainland,19693,3086.0,425,64.0,614.0,151.0
2020-02-04,China,Mainland,23680,3987.0,490,65.0,843.0,229.0
2020-02-05,China,Mainland,27409,3729.0,562,72.0,1115.0,272.0
2020-02-06,China,Mainland,30553,3144.0,632,70.0,1476.0,361.0
2020-02-07,China,Mainland,34075,3522.0,717,85.0,1998.0,522.0
2020-02-08,China,Mainland,36778,2703.0,804,87.0,2595.0,597.0
2020-02-09,China,Mainland,39790,3012.0,904,100.0,3218.0,623.0
2020-02-10,China,Mainland,42306,2516.0,1011,107.0,3917.0,699.0
2020-02-11,China,Mainland,44327,2021.0,1111,100.0,4635.0,718.0
2020-02-12,China,Mainland,44699,372.0,1116,5.0,5079.0,444.0
2020-02-13,China,Mainland,59832,15133.0,1368,252.0,6213.0,1134.0
2020-02-14,China,Mainland,66292,6460.0,1520,152.0,7973.0,1760.0
2020-02-15,China,Mainland,68347,2055.0,1662,142.0,9294.0,1321.0
2020-02-16,China,Mainland,70446,2099.0,1765,103.0,10748.0,1454.0
2020-02-17,China,Mainland,72364,1918.0,1863,98.0,12455.0,1707.0
2020-02-18,China,Mainland,74139,1775.0,2002,139.0,14199.0,1744.0
2020-02-19,China,Mainland,74546,407.0,2114,112.0,15952.0,1753.0
2020-02-20,China,Mainland,74999,453.0,2236,122.0,18002.0,2050.0
2020-02-21,China,Mainland,75472,473.0,2236,0.0,18693.0,691.0
2020-02-22,China,Mainland,76922,1450.0,2441,205.0,22687.0,3994.0
2020-02-23,China,Mainland,76938,16.0,2443,2.0,23170.0,483.0
2020-02-24,China,Mainland,77152,214.0,2593,150.0,24990.0,1820.0
2020-02-25,China,Mainland,77660,508.0,2663,70.0,27650.0,2660.0
2020-02-26,China,Mainland,78065,405.0,2715,52.0,30053.0,2403.0
2020-02-27,China,Mainland,78498,433.0,2744,29.0,32898.0,2845.0
2020-02-28,China,Mainland,78824,326.0,2788,44.0,36291.0,3393.0
2020-02-29,China,Mainland,79251,427.0,2835,47.0,39279.0,2988.0
