target,model,feature,importance
confirmed,GradientBoosting,lag_1,0.32112755842599333
confirmed,GradientBoosting,rolling_mean_3,0.1378382763762699
confirmed,GradientBoosting,lag_2,0.13024977162071164
confirmed,GradientBoosting,rolling_max_3,0.09266270299213969
confirmed,GradientBoosting,diff_7,0.03533137493674128
confirmed,GradientBoosting,day_index,0.017316644696023446
confirmed,GradientBoosting,rolling_std_14,0.016292177687315904
confirmed,GradientBoosting,lag_3,0.016113504187249765
confirmed,GradientBoosting,lag_28,0.013368574842866202
confirmed,GradientBoosting,ratio_to_mean_7,0.012184764852044718
confirmed,GradientBoosting,rolling_median_3,0.011501714811094802
confirmed,GradientBoosting,lag_11,0.011061031559304582
confirmed,GradientBoosting,lag_4,0.010812416155851212
confirmed,GradientBoosting,rolling_mean_7,0.010740051474270571
confirmed,GradientBoosting,week_of_year,0.010288740517778956
confirmed,GradientBoosting,lag_12,0.010176798282665872
confirmed,GradientBoosting,lag_9,0.009779467683043143
confirmed,GradientBoosting,rolling_std_28,0.009742822058560387
confirmed,GradientBoosting,lag_21,0.008448423363786666
confirmed,GradientBoosting,rolling_std_7,0.008341634395334214
confirmed,GradientBoosting,ewm_7,0.008145090326484309
confirmed,GradientBoosting,dow_sin,0.008095622771544788
confirmed,GradientBoosting,lag_6,0.007466581274930777
confirmed,GradientBoosting,lag_7,0.007341519886148591
confirmed,GradientBoosting,rolling_max_28,0.006359581781589782
confirmed,GradientBoosting,lag_13,0.005961918528388406
confirmed,GradientBoosting,diff_1,0.005912924738447029
confirmed,GradientBoosting,rolling_mean_28,0.005445113366620132
confirmed,GradientBoosting,rolling_median_7,0.005369900258393805
confirmed,GradientBoosting,rolling_max_14,0.005343464335798071
confirmed,GradientBoosting,lag_10,0.005126616437066815
confirmed,GradientBoosting,rolling_median_14,0.004651510634017032
confirmed,GradientBoosting,lag_14,0.004358412165253484
confirmed,GradientBoosting,rolling_std_3,0.003574905662730936
confirmed,GradientBoosting,day_of_week,0.0035244424138064067
confirmed,GradientBoosting,lag_8,0.0034377419977158308
confirmed,GradientBoosting,month,0.003399627746918305
confirmed,GradientBoosting,lag_5,0.003352914979705319
confirmed,GradientBoosting,rolling_max_7,0.002963305511290898
confirmed,GradientBoosting,dow_cos,0.00278449445076176
confirmed,GradientBoosting,ewm_14,0.0018101687436719127
confirmed,GradientBoosting,rolling_median_28,0.001649918363114825
confirmed,GradientBoosting,rolling_mean_14,0.0005457727065545756
confirmed,GradientBoosting,is_weekend,0.0
deaths,GradientBoosting,ewm_14,0.4662953696099651
deaths,GradientBoosting,rolling_std_14,0.17596832044555538
deaths,GradientBoosting,ewm_7,0.09685333438764576
deaths,GradientBoosting,day_index,0.08196451388588592
deaths,GradientBoosting,rolling_median_3,0.04026377562517608
deaths,GradientBoosting,rolling_std_7,0.03095516507797147
deaths,GradientBoosting,lag_1,0.02062524849430169
deaths,GradientBoosting,lag_2,0.012968080218488989
deaths,GradientBoosting,rolling_mean_14,0.012639766867574733
deaths,GradientBoosting,rolling_median_7,0.010621504157628513
deaths,GradientBoosting,lag_21,0.007221514670241221
deaths,GradientBoosting,diff_7,0.006262402111962355
deaths,GradientBoosting,lag_12,0.004905365186045633
deaths,GradientBoosting,lag_4,0.003986198747105885
deaths,GradientBoosting,lag_13,0.003445544696338239
deaths,GradientBoosting,lag_10,0.0029215326159655547
deaths,GradientBoosting,lag_28,0.0025523517850261895
deaths,GradientBoosting,rolling_mean_28,0.002419864474628872
deaths,GradientBoosting,ratio_to_mean_7,0.0020310237677505093
deaths,GradientBoosting,lag_9,0.0018945089145095987
deaths,GradientBoosting,week_of_year,0.0016686934908422579
deaths,GradientBoosting,lag_5,0.0016486884020572316
deaths,GradientBoosting,rolling_mean_7,0.0014319265227637642
deaths,GradientBoosting,rolling_std_28,0.0013633314426362419
deaths,GradientBoosting,dow_sin,0.0013328159545667557
deaths,GradientBoosting,lag_11,0.0011397521558731416
deaths,GradientBoosting,diff_1,0.000986482008523406
deaths,GradientBoosting,lag_3,0.0007671841298259999
deaths,GradientBoosting,rolling_max_7,0.0007646891988409523
deaths,GradientBoosting,rolling_max_3,0.0006382132141884393
deaths,GradientBoosting,rolling_median_14,0.0004473034743859973
deaths,GradientBoosting,is_weekend,0.0002679686187629362
deaths,GradientBoosting,rolling_std_3,0.00024062114425893363
deaths,GradientBoosting,day_of_week,0.00014356854648870157
deaths,GradientBoosting,lag_14,0.0001431620218355045
deaths,GradientBoosting,month,0.00012412009800349572
deaths,GradientBoosting,lag_6,9.609383637847776e-05
deaths,GradientBoosting,dow_cos,0.0
deaths,GradientBoosting,lag_7,0.0
deaths,GradientBoosting,lag_8,0.0
deaths,GradientBoosting,rolling_mean_3,0.0
deaths,GradientBoosting,rolling_median_28,0.0
deaths,GradientBoosting,rolling_max_14,0.0
deaths,GradientBoosting,rolling_max_28,0.0
recovered,GradientBoosting,rolling_median_3,0.28780360713347336
recovered,GradientBoosting,day_index,0.05571076452609074
recovered,GradientBoosting,rolling_mean_3,0.04913574549323497
recovered,GradientBoosting,lag_4,0.04871320371787875
recovered,GradientBoosting,rolling_max_3,0.04501097974970255
recovered,GradientBoosting,lag_1,0.04472344907655354
recovered,GradientBoosting,rolling_median_7,0.03499877985627425
recovered,GradientBoosting,lag_6,0.028275775067548067
recovered,GradientBoosting,diff_7,0.02373254091102854
recovered,GradientBoosting,lag_2,0.023169524759774046
recovered,GradientBoosting,rolling_median_14,0.021272672253798437
recovered,GradientBoosting,month,0.02120909796745277
recovered,GradientBoosting,lag_3,0.01777425313988551
recovered,GradientBoosting,lag_11,0.017268012886130914
recovered,GradientBoosting,lag_28,0.016691706151251
recovered,GradientBoosting,ratio_to_mean_7,0.01573966268064477
recovered,GradientBoosting,lag_21,0.014905292298959467
recovered,GradientBoosting,ewm_7,0.014868441067154285
recovered,GradientBoosting,day_of_week,0.0143138498963516
recovered,GradientBoosting,dow_sin,0.013158781053407132
recovered,GradientBoosting,lag_8,0.013108133878794299
recovered,GradientBoosting,rolling_std_7,0.012783323125868528
recovered,GradientBoosting,rolling_mean_28,0.012471330151096128
recovered,GradientBoosting,rolling_mean_14,0.012143991875745585
recovered,GradientBoosting,lag_12,0.011941517375163108
recovered,GradientBoosting,rolling_mean_7,0.011440737739443704
recovered,GradientBoosting,week_of_year,0.011011456444692851
recovered,GradientBoosting,lag_13,0.010967893604140105
recovered,GradientBoosting,lag_9,0.010696352418874287
recovered,GradientBoosting,ewm_14,0.009338199615096798
recovered,GradientBoosting,diff_1,0.008867983264765886
recovered,GradientBoosting,rolling_std_14,0.0071601545943899775
recovered,GradientBoosting,rolling_std_28,0.00705079457366838
recovered,GradientBoosting,lag_14,0.006916089553428251
recovered,GradientBoosting,rolling_median_28,0.006813514940567214
recovered,GradientBoosting,lag_5,0.006764482438666556
recovered,GradientBoosting,dow_cos,0.0065152263023809985
recovered,GradientBoosting,lag_10,0.005982978347619931
recovered,GradientBoosting,lag_7,0.005479204431425464
recovered,GradientBoosting,rolling_std_3,0.00517687503262098
recovered,GradientBoosting,rolling_max_7,0.004418828116574151
recovered,GradientBoosting,rolling_max_14,0.0024587560924133425
recovered,GradientBoosting,rolling_max_28,0.0014443678571011602
recovered,GradientBoosting,is_weekend,0.0005716685388675776
