target,model,feature,importance
confirmed,GradientBoosting,rolling_mean_3,0.18433392568247897
confirmed,GradientBoosting,rolling_max_3,0.18296596321754754
confirmed,GradientBoosting,rolling_median_3,0.10315439586811671
confirmed,GradientBoosting,lag_1,0.07688325921845778
confirmed,GradientBoosting,day_index,0.06762922472982466
confirmed,GradientBoosting,lag_2,0.0493960115270375
confirmed,GradientBoosting,ewm_7,0.02681734446254472
confirmed,GradientBoosting,rolling_median_7,0.022959178252808684
confirmed,GradientBoosting,diff_7,0.02195634608377001
confirmed,GradientBoosting,rolling_std_7,0.021594444957702262
confirmed,GradientBoosting,lag_9,0.017361516986360896
confirmed,GradientBoosting,rolling_std_28,0.015795541403124315
confirmed,GradientBoosting,rolling_std_14,0.012423836638836868
confirmed,GradientBoosting,lag_3,0.012287576204680151
confirmed,GradientBoosting,lag_13,0.011896866577263564
confirmed,GradientBoosting,lag_6,0.011304184188406135
confirmed,GradientBoosting,rolling_mean_7,0.01062425992777897
confirmed,GradientBoosting,lag_11,0.010291979660702786
confirmed,GradientBoosting,diff_1,0.00994799059110424
confirmed,GradientBoosting,lag_5,0.009649601179821297
confirmed,GradientBoosting,lag_8,0.008743861979189574
confirmed,GradientBoosting,lag_10,0.008741759689761418
confirmed,GradientBoosting,week_of_year,0.008640174811097115
confirmed,GradientBoosting,ratio_to_mean_7,0.00821902399071168
confirmed,GradientBoosting,rolling_mean_14,0.008091421780506317
confirmed,GradientBoosting,lag_4,0.007855446207241181
confirmed,GradientBoosting,lag_28,0.0074460781361339245
confirmed,GradientBoosting,rolling_std_3,0.007357134792892873
confirmed,GradientBoosting,lag_7,0.006533390046522388
confirmed,GradientBoosting,rolling_median_14,0.005994635922033736
confirmed,GradientBoosting,lag_12,0.005979626050878918
confirmed,GradientBoosting,lag_21,0.005342099471765927
confirmed,GradientBoosting,rolling_max_7,0.005283391804758327
confirmed,GradientBoosting,dow_sin,0.004404990941873479
confirmed,GradientBoosting,rolling_median_28,0.004039004288868164
confirmed,GradientBoosting,ewm_14,0.0038139257810435884
confirmed,GradientBoosting,day_of_week,0.0038055565188278837
confirmed,GradientBoosting,lag_14,0.002762074948499042
confirmed,GradientBoosting,rolling_mean_28,0.0026675337177399583
confirmed,GradientBoosting,rolling_max_28,0.002119861880234701
confirmed,GradientBoosting,rolling_max_14,0.0015017535580271095
confirmed,GradientBoosting,dow_cos,0.0005823757260129986
confirmed,GradientBoosting,is_weekend,0.000474127701455282
confirmed,GradientBoosting,month,0.0003273028955563548
confirmed,RandomForest,rolling_median_3,0.49942143757466306
confirmed,RandomForest,rolling_mean_3,0.20635985954491873
confirmed,RandomForest,lag_28,0.04399702765653448
confirmed,RandomForest,lag_1,0.03640622143920252
confirmed,RandomForest,rolling_std_28,0.02016578679066398
confirmed,RandomForest,lag_3,0.015591634937060428
confirmed,RandomForest,lag_13,0.015064900867170137
confirmed,RandomForest,diff_1,0.013260047518954179
confirmed,RandomForest,rolling_std_14,0.009815069785747796
confirmed,RandomForest,rolling_mean_7,0.00953647451058872
confirmed,RandomForest,lag_5,0.00931881620672825
confirmed,RandomForest,lag_4,0.008905270075125274
confirmed,RandomForest,ewm_7,0.00760018923463357
confirmed,RandomForest,rolling_std_7,0.007305120524872473
confirmed,RandomForest,rolling_std_3,0.007285778740263317
confirmed,RandomForest,rolling_max_3,0.006590000457344257
confirmed,RandomForest,lag_2,0.006410694476705131
confirmed,RandomForest,rolling_median_7,0.005592974529695397
confirmed,RandomForest,lag_14,0.005466171062576743
confirmed,RandomForest,lag_8,0.005306189765903911
confirmed,RandomForest,diff_7,0.004963912216084917
confirmed,RandomForest,ewm_14,0.004962951669695021
confirmed,RandomForest,lag_10,0.004726579419821798
confirmed,RandomForest,lag_12,0.00414023128869441
confirmed,RandomForest,lag_6,0.003850180155350683
